index,params
0,136456
1,809576
2,566536
3,80456
4,136456
5,379496
6,809576
7,566536
8,351496
9,323496
10,809576
11,809576
12,323496
13,379496
14,594536
15,80456
16,566536
17,164456
18,594536
19,594536
20,566536
21,379496
22,351496
23,809576
24,108456
25,80456
26,192456
27,164456
28,108456
29,323496
30,323496
31,351496
32,351496
33,379496
34,351496
35,351496
36,594536
37,108456
38,594536
39,136456
40,351496
41,379496
42,594536
43,566536
44,108456
45,108456
46,566536
47,566536
48,108456
49,351496
50,650536
51,351496
52,594536
53,80456
54,594536
55,80456
56,379496
57,323496
58,80456
59,164456
60,164456
61,351496
62,379496
63,622536
64,865576
65,865576
66,80456
67,865576
68,351496
69,566536
70,566536
71,351496
72,108456
73,566536
74,351496
75,323496
76,108456
77,594536
78,407496
79,351496
80,379496
81,1080616
82,1052616
83,108456
84,351496
85,379496
86,379496
87,108456
88,164456
89,351496
90,192456
91,164456
92,379496
93,566536
94,136456
95,80456
96,594536
97,108456
98,136456
99,594536
100,809576
101,351496
102,407496
103,594536
104,136456
105,80456
106,108456
107,351496
108,108456
109,622536
110,323496
111,622536
112,566536
113,108456
114,566536
115,323496
116,379496
117,837576
118,80456
119,622536
120,566536
121,622536
122,164456
123,351496
124,351496
125,136456
126,136456
127,379496
128,594536
129,837576
130,351496
131,351496
132,351496
133,594536
134,164456
135,323496
136,1052616
137,809576
138,1295656
139,594536
140,379496
141,164456
142,622536
143,351496
144,566536
145,136456
146,323496
147,837576
148,379496
149,136456
150,136456
151,108456
152,379496
153,650536
154,407496
155,351496
156,323496
157,80456
158,622536
159,351496
160,323496
161,323496
162,622536
163,108456
164,837576
165,622536
166,136456
167,136456
168,650536
169,351496
170,136456
171,837576
172,80456
173,136456
174,351496
175,566536
176,108456
177,136456
178,407496
179,594536
180,837576
181,164456
182,80456
183,323496
184,594536
185,594536
186,80456
187,136456
188,351496
189,566536
190,351496
191,566536
192,566536
193,351496
194,351496
195,323496
196,351496
197,351496
198,379496
199,80456
200,108456
201,108456
202,837576
203,865576
204,594536
205,351496
206,323496
207,594536
208,108456
209,379496
210,323496
211,622536
212,837576
213,351496
214,594536
215,80456
216,108456
217,566536
218,351496
219,351496
220,566536
221,323496
222,351496
223,80456
224,837576
225,323496
226,108456
227,809576
228,379496
229,108456
230,435496
231,351496
232,80456
233,80456
234,379496
235,837576
236,379496
237,594536
238,594536
239,80456
240,80456
241,622536
242,622536
243,108456
244,622536
245,351496
246,379496
247,108456
248,379496
249,379496
250,566536
251,323496
252,594536
253,164456
254,136456
255,351496
256,379496
257,566536
258,566536
259,351496
260,108456
261,837576
262,323496
263,594536
264,622536
265,837576
266,351496
267,379496
268,837576
269,379496
270,351496
271,323496
272,323496
273,809576
274,865576
275,566536
276,351496
277,837576
278,323496
279,594536
280,108456
281,622536
282,566536
283,379496
284,108456
285,379496
286,566536
287,622536
288,566536
289,594536
290,351496
291,351496
292,379496
293,865576
294,323496
295,809576
296,136456
297,80456
298,136456
299,809576
300,136456
301,837576
302,108456
303,164456
304,323496
305,80456
306,323496
307,809576
308,351496
309,136456
310,407496
311,351496
312,351496
313,80456
314,594536
315,351496
316,407496
317,351496
318,594536
319,108456
320,622536
321,136456
322,594536
323,136456
324,136456
325,566536
326,407496
327,164456
328,351496
329,407496
330,351496
331,108456
332,323496
333,351496
334,108456
335,379496
336,594536
337,351496
338,136456
339,594536
340,351496
341,108456
342,108456
343,108456
344,809576
345,80456
346,351496
347,379496
348,351496
349,323496
350,594536
351,407496
352,594536
353,108456
354,108456
355,351496
356,594536
357,351496
358,594536
359,136456
360,622536
361,865576
362,622536
363,323496
364,108456
365,80456
366,379496
367,594536
368,164456
369,566536
370,379496
371,323496
372,379496
373,379496
374,865576
375,108456
376,594536
377,809576
378,1080616
379,136456
380,351496
381,622536
382,594536
383,566536
384,594536
385,594536
386,351496
387,80456
388,379496
389,407496
390,80456
391,1052616
392,379496
393,351496
394,566536
395,379496
396,108456
397,379496
398,407496
399,379496
400,566536
401,351496
402,407496
403,351496
404,594536
405,164456
406,351496
407,80456
408,108456
409,379496
410,379496
411,865576
412,837576
413,622536
414,136456
415,351496
416,379496
417,351496
418,407496
419,323496
420,136456
421,323496
422,407496
423,136456
424,351496
425,809576
426,108456
427,351496
428,379496
429,379496
430,594536
431,323496
432,80456
433,323496
434,566536
435,622536
436,323496
437,566536
438,323496
439,650536
440,1108616
441,323496
442,379496
443,809576
444,594536
445,407496
446,407496
447,323496
448,566536
449,108456
450,650536
451,351496
452,351496
453,379496
454,837576
455,622536
456,594536
457,351496
458,622536
459,351496
460,351496
461,379496
462,136456
463,566536
464,351496
465,80456
466,622536
467,323496
468,351496
469,379496
470,379496
471,837576
472,351496
473,136456
474,108456
475,323496
476,594536
477,622536
478,809576
479,164456
480,594536
481,136456
482,351496
483,351496
484,351496
485,164456
486,809576
487,622536
488,594536
489,351496
490,865576
491,622536
492,566536
493,136456
494,108456
495,594536
496,594536
497,594536
498,80456
499,594536
500,594536
501,108456
502,108456
503,594536
504,351496
505,164456
506,407496
507,351496
508,323496
509,809576
510,379496
511,566536
512,164456
513,407496
514,379496
515,351496
516,566536
517,351496
518,379496
519,351496
520,407496
521,80456
522,566536
