index,params
0,0.135156
1,0.808276
2,0.565236
3,0.079156
4,0.135156
5,0.378196
6,0.808276
7,0.565236
8,0.350196
9,0.322196
10,0.808276
11,0.808276
12,0.322196
13,0.378196
14,0.593236
15,0.079156
16,0.565236
17,0.163156
18,0.593236
19,0.593236
20,0.565236
21,0.378196
22,0.350196
23,0.808276
24,0.107156
25,0.079156
26,0.191156
27,0.163156
28,0.107156
29,0.322196
30,0.322196
31,0.350196
32,0.350196
33,0.378196
34,0.350196
35,0.350196
36,0.593236
37,0.107156
38,0.593236
39,0.135156
40,0.350196
41,0.378196
42,0.593236
43,0.565236
44,0.107156
45,0.107156
46,0.565236
47,0.565236
48,0.107156
49,0.350196
50,0.649236
51,0.350196
52,0.593236
53,0.079156
54,0.593236
55,0.079156
56,0.378196
57,0.322196
58,0.079156
59,0.163156
60,0.163156
61,0.350196
62,0.378196
63,0.621236
64,0.864276
65,0.864276
66,0.079156
67,0.864276
68,0.350196
69,0.565236
70,0.565236
71,0.350196
72,0.107156
73,0.565236
74,0.350196
75,0.322196
76,0.107156
77,0.593236
78,0.406196
79,0.350196
80,0.378196
81,1.079316
82,1.051316
83,0.107156
84,0.350196
85,0.378196
86,0.378196
87,0.107156
88,0.163156
89,0.350196
90,0.191156
91,0.163156
92,0.378196
93,0.565236
94,0.135156
95,0.079156
96,0.593236
97,0.107156
98,0.135156
99,0.593236
100,0.808276
101,0.350196
102,0.406196
103,0.593236
104,0.135156
105,0.079156
106,0.107156
107,0.350196
108,0.107156
109,0.621236
110,0.322196
111,0.621236
112,0.565236
113,0.107156
114,0.565236
115,0.322196
116,0.378196
117,0.836276
118,0.079156
119,0.621236
120,0.565236
121,0.621236
122,0.163156
123,0.350196
124,0.350196
125,0.135156
126,0.135156
127,0.378196
128,0.593236
129,0.836276
130,0.350196
131,0.350196
132,0.350196
133,0.593236
134,0.163156
135,0.322196
136,1.051316
137,0.808276
138,1.294356
139,0.593236
140,0.378196
141,0.163156
142,0.621236
143,0.350196
144,0.565236
145,0.135156
146,0.322196
147,0.836276
148,0.378196
149,0.135156
150,0.135156
151,0.107156
152,0.378196
153,0.649236
154,0.406196
155,0.350196
156,0.322196
157,0.079156
158,0.621236
159,0.350196
160,0.322196
161,0.322196
162,0.621236
163,0.107156
164,0.836276
165,0.621236
166,0.135156
167,0.135156
168,0.649236
169,0.350196
170,0.135156
171,0.836276
172,0.079156
173,0.135156
174,0.350196
175,0.565236
176,0.107156
177,0.135156
178,0.406196
179,0.593236
180,0.836276
181,0.163156
182,0.079156
183,0.322196
184,0.593236
185,0.593236
186,0.079156
187,0.135156
188,0.350196
189,0.565236
190,0.350196
191,0.565236
192,0.565236
193,0.350196
194,0.350196
195,0.322196
196,0.350196
197,0.350196
198,0.378196
199,0.079156
200,0.107156
